id1,id2,id3,inv_0,inv_1,inv_2,inv_3,inv_4,inv_5,inv_6
02-1-149471,02-1-000399,02-1-149419,-38.46724037101618,-18.5937576159601,-18.28866055474228,-5.433035451646411,-3.111333641868235,-1.378658160091831,0.878232079485846
02-1-149471,02-1-000399,02-1-149420,-56.62255155510911,-44.952145608133435,-30.07709103826153,-7.106396105585631,-3.111333641868235,-2.151187790349887,0.878232079485846
02-1-149427,02-1-000399,02-1-149471,-136.8036172940216,-104.33617166091446,-56.11733657740719,-36.861620755862276,-5.795418475011932,-3.111333641868235,0.878232079485846
02-1-149298,02-1-149194,02-1-000405,-93.76135746509328,-25.1460140670911,-14.856956596003727,-13.076960475911989,-11.097042673918622,-2.1440593865401674,2.4733062915428885
02-1-149237,02-1-000405,02-1-149231,-137.19698036700345,-81.66804827942644,-59.09667599025272,-26.363152160412596,-16.116048507341723,-1.832006758622306,-1.2472147028624136
02-1-149237,02-1-000405,02-1-149232,-180.77063873360498,-128.07636731254718,-96.19120356873611,-26.363152160412596,-21.990253392177642,-3.7707016923293555,-1.832006758622306
02-1-143608,02-1-000407,02-1-143611,-128.16428241486295,-30.352510798399706,-26.423665926780302,-17.489652982704058,-11.98120084718721,-5.0774662299528135,-3.5480161251624143
02-1-143609,02-1-000407,02-1-143611,-82.36034932260591,-30.352510798399706,-26.170466100861603,-12.767930005472962,-6.4348668112010685,-5.0774662299528135,0.36892929256703244
02-1-143631,02-1-000407,02-1-143609,-192.39981940133373,-178.0190240298267,-95.89752993675819,-62.27677156480729,-10.931788045125842,-6.4348668112010685,0.36892929256703244
02-1-143573,02-1-000410,02-1-143533,-198.15343482273397,-141.16788350330557,-71.98167694788415,-70.8958227875709,-19.173510319916957,-13.708666267737115,-4.871957149760206
02-1-000416,02-1-143516,02-1-143522,-219.39649318077454,-166.94283276589476,-157.03043964405697,-24.35968290393754,-19.890617367843898,3.3583235130040734,3.4828355888376077
02-1-143516,02-1-143467,02-1-143518,-558.8187706309827,-153.31616236842353,-145.0585848950219,-141.21793973203046,-118.00529164655609,-15.702939923376562,-11.904197113710723
02-1-143522,02-1-143516,02-1-143467,-1255.5983077999153,-302.60856383676764,-242.78332733937305,-219.39649318077454,-166.94283276589476,-153.31616236842353,-145.0585848950219
02-1-143516,02-1-143467,02-1-143528,-914.7168467854112,-193.33546291578364,-184.571671979337,-163.23657660427443,-153.31616236842353,-145.0585848950219,-119.05777461516129
02-1-143522,02-1-143467,02-1-143518,-774.153719559698,-302.60856383676764,-242.78332733937305,-157.9733436567899,-109.06824984093876,-15.702939923376562,-11.904197113710723
02-1-143528,02-1-143467,02-1-143518,-393.2858935245599,-163.23657660427443,-119.05777461516129,-51.51288253938725,-44.72959296204621,-15.702939923376562,-11.904197113710723
02-1-143518,02-1-143467,02-1-144601,-369.0887545892907,-173.70921014071246,-152.7161892937388,-38.86334458828895,-27.81567339293042,-15.702939923376562,-11.904197113710723
02-1-143522,02-1-143467,02-1-143528,-745.6835811680327,-302.60856383676764,-242.78332733937305,-163.23657660427443,-119.05777461516129,-31.677719771132104,-17.688167191065872
02-1-143528,02-1-143467,02-1-144601,-929.7466715712865,-173.70921014071246,-165.84842650189572,-163.23657660427443,-152.7161892937388,-119.05777461516129,-113.77198453549678
02-1-143522,02-1-143516,02-1-143518,-992.7516693900952,-219.39649318077454,-166.94283276589476,-157.9733436567899,-141.21793973203046,-118.00529164655609,-109.06824984093876
02-1-143516,02-1-143518,02-1-143528,-701.2943727098059,-193.33546291578364,-184.571671979337,-141.21793973203046,-118.00529164655609,-51.51288253938725,-44.72959296204621
02-1-143522,02-1-143516,02-1-143528,-933.6410187601673,-219.39649318077454,-193.33546291578364,-184.571671979337,-166.94283276589476,-31.677719771132104,-17.688167191065872
02-1-143522,02-1-143518,02-1-143528,-406.22471172289096,-157.9733436567899,-109.06824984093876,-51.51288253938725,-44.72959296204621,-31.677719771132104,-17.688167191065872
02-1-143528,02-1-143518,02-1-144600,-328.8043740018774,-70.46038357027811,-55.13024673805353,-51.51288253938725,-44.72959296204621,-30.44171067585762,-28.286999711565983
02-1-143528,02-1-143518,02-1-144601,-418.1265957253477,-165.84842650189572,-113.77198453549678,-51.51288253938725,-44.72959296204621,-38.86334458828895,-27.81567339293042
02-1-143518,02-1-144601,02-1-144600,-310.7705875652148,-70.46038357027811,-62.02801385810983,-38.86334458828895,-30.44171067585762,-27.81567339293042,-18.91126395342016
02-1-143522,02-1-143528,02-1-143529,-197.58861580429925,-78.37322011308345,-44.25755587469342,-31.677719771132104,-19.86043354034004,-17.688167191065872,-13.96843566202952
02-1-143522,02-1-143528,02-1-143531,-759.7011600516284,-310.9824296809775,-270.0989116923506,-110.30442007710667,-97.21806815341324,-31.677719771132104,-17.688167191065872
02-1-143522,02-1-143531,02-1-143529,-533.0314007483057,-310.9824296809775,-270.0989116923506,-78.37322011308345,-44.25755587469342,-13.209520192383422,-7.732175467931626
02-1-143529,02-1-143528,02-1-143531,-218.5906289946474,-110.30442007710667,-97.21806815341324,-19.86043354034004,-13.96843566202952,-13.209520192383422,-7.732175467931626
02-1-143529,02-1-143528,02-1-144600,-193.43892805432853,-55.13024673805353,-31.303443703923456,-28.286999711565983,-23.429265978433804,-19.86043354034004,-13.96843566202952
02-1-143531,02-1-143528,02-1-144600,-357.690170472614,-110.30442007710667,-97.21806815341324,-70.28733791166796,-55.13024673805353,-33.47855762422468,-28.286999711565983
02-1-143528,02-1-144601,02-1-144600,-410.2756255792988,-165.84842650189572,-113.77198453549678,-62.02801385810983,-55.13024673805353,-28.286999711565983,-18.91126395342016
02-1-143531,02-1-143529,02-1-144597,-239.06628252463253,-56.0549215708113,-48.63596180987352,-43.46479291412237,-33.707345227385446,-13.209520192383422,-7.732175467931626
02-1-143531,02-1-143529,02-1-144600,-203.60109283436228,-70.28733791166796,-33.47855762422468,-31.303443703923456,-23.429265978433804,-13.209520192383422,-7.732175467931626
02-1-143529,02-1-144600,02-1-144597,-172.37445845659408,-48.63596180987352,-43.46479291412237,-31.303443703923456,-23.429265978433804,-13.556474265171147,-11.740818576819478
02-1-143533,02-1-143531,02-1-144589,-447.097811571174,-171.63408458093886,-105.16430462588289,-99.05295062950933,-50.68333488715962,-35.569239157071024,-19.536363733634474
02-1-143531,02-1-144596,02-1-144589,-286.77136647105044,-171.63408458093886,-105.16430462588289,-94.01656793755933,-42.19786324091393,-9.529729482174027,-3.3683011290920035
02-1-143531,02-1-144597,02-1-144589,-352.9890428667841,-171.63408458093886,-105.16430462588289,-56.0549215708113,-37.60319279344688,-33.707345227385446,-18.767684744276792
02-1-143531,02-1-144600,02-1-144596,-295.5532881637901,-94.01656793755933,-70.28733791166796,-42.19786324091393,-33.47855762422468,-26.804985602796165,-26.522521124494673
02-1-143531,02-1-144600,02-1-144597,-198.75678003224274,-70.28733791166796,-56.0549215708113,-33.707345227385446,-33.47855762422468,-13.556474265171147,-11.740818576819478
02-1-143559,02-1-143578,02-1-143557,-416.10557274858644,-115.70906196733532,-91.32136114590563,-66.3225137634125,-59.4074343332669,-9.142440096791745,-8.142215030758962
02-1-143559,02-1-143557,02-1-143608,-424.610581971667,-91.32136114590563,-75.66139481875277,-71.86857160799576,-67.79988864024699,-63.16305557427077,-59.4074343332669
02-1-143559,02-1-143557,02-1-143609,-237.0072803189629,-91.32136114590563,-59.4074343332669,-46.941603668054086,-27.49030544581703,-22.4751550242123,-18.00945275758074
02-1-143559,02-1-143557,02-1-143611,-726.9760906372862,-215.04150208907868,-164.01857679358852,-163.7068749139401,-123.2231643669372,-91.32136114590563,-59.4074343332669
02-1-143559,02-1-143631,02-1-143557,-572.4372753873231,-247.3895998061579,-184.16901905497926,-91.32136114590563,-59.4074343332669,-30.936536596466794,-21.412515194913766
02-1-143578,02-1-143557,02-1-143608,-516.4330264331414,-146.5649318063571,-120.55590660723038,-115.70906196733532,-75.66139481875277,-66.3225137634125,-63.16305557427077
02-1-143578,02-1-143557,02-1-143609,-290.3931488055117,-115.70906196733532,-93.73548159218649,-66.3225137634125,-46.060544929653815,-22.4751550242123,-18.00945275758074
02-1-143578,02-1-143631,02-1-143557,-588.5106919618067,-242.34436531431328,-174.28140367713212,-115.70906196733532,-66.3225137634125,-30.936536596466794,-21.412515194913766
02-1-143557,02-1-143611,02-1-143608,-477.571841401753,-163.7068749139401,-123.2231643669372,-75.66139481875277,-63.16305557427077,-17.489652982704058,-11.98120084718721
02-1-143609,02-1-143557,02-1-143611,-299.3528874573414,-163.7068749139401,-123.2231643669372,-26.170466100861603,-22.4751550242123,-18.00945275758074,-12.767930005472962
02-1-143631,02-1-143557,02-1-143609,-355.9358955654101,-178.0190240298267,-95.89752993675819,-30.936536596466794,-22.4751550242123,-21.412515194913766,-18.00945275758074
02-1-143580,02-1-143578,02-1-143559,-111.70695150377423,-29.765472075771413,-16.954577515425257,-14.463664553011043,-9.142440096791745,-8.142215030758962,-7.559860398282282
02-1-143581,02-1-143559,02-1-143578,-349.96118732942455,-107.30774599209877,-96.42066168174546,-50.368870605663574,-45.01891283401096,-9.142440096791745,-8.142215030758962
02-1-143582,02-1-143578,02-1-143559,-362.9149286312263,-108.15422657846125,-60.31459618544892,-58.0529127630858,-28.738978452870498,-9.142440096791745,-8.142215030758962
02-1-143583,02-1-143578,02-1-143559,-362.1421429433469,-119.4924536726403,-112.16081715900282,-50.65841631503088,-49.040841732378624,-9.142440096791745,-8.142215030758962
02-1-143584,02-1-143578,02-1-143559,-223.34344517730278,-70.96065551694306,-62.62258662499352,-25.17707664088755,-19.91031891974373,-9.142440096791745,-8.142215030758962
02-1-143601,02-1-143578,02-1-143559,-281.155255876776,-72.73084482347178,-70.66732181879865,-63.32905747326626,-51.17653354685126,-9.142440096791745,-8.142215030758962
02-1-143559,02-1-143578,02-1-143608,-444.8336444401068,-146.5649318063571,-120.55590660723038,-71.86857160799576,-67.79988864024699,-9.142440096791745,-8.142215030758962
02-1-143559,02-1-143578,02-1-143609,-283.7035124705969,-93.73548159218649,-46.941603668054086,-46.060544929653815,-27.49030544581703,-9.142440096791745,-8.142215030758962
02-1-143578,02-1-143559,02-1-143619,-384.77863792976154,-118.28625518249112,-68.0110091305175,-63.71763399997363,-35.50148573857845,-9.142440096791745,-8.142215030758962
02-1-143578,02-1-143631,02-1-143559,-729.5366807201381,-247.3895998061579,-242.34436531431328,-184.16901905497926,-174.28140367713212,-9.142440096791745,-8.142215030758962
02-1-143580,02-1-143581,02-1-143559,-245.20811512793836,-107.30774599209877,-96.42066168174546,-34.93955475970887,-29.765472075771413,-19.650018616290453,-16.954577515425257
02-1-143580,02-1-143582,02-1-143559,-228.49133770208653,-108.15422657846125,-58.0529127630858,-29.765472075771413,-18.418007264546304,-16.954577515425257,-16.78007165725829
02-1-143580,02-1-143583,02-1-143559,-295.6451725120088,-119.4924536726403,-112.16081715900282,-29.765472075771413,-29.20378727611495,-21.826789851208147,-16.954577515425257
02-1-143580,02-1-143584,02-1-143559,-178.92121952656103,-70.96065551694306,-62.62258662499352,-29.765472075771413,-16.954577515425257,-16.09281708946949,-9.918371094741225
02-1-143601,02-1-143580,02-1-143559,-183.76753270042582,-63.32905747326626,-51.17653354685126,-29.765472075771413,-16.954577515425257,-7.9923117273174284,-5.777099876405941
02-1-143581,02-1-143559,02-1-143601,-704.6167296290237,-196.18151573307892,-143.50208979277403,-107.30774599209877,-96.42066168174546,-63.32905747326626,-51.17653354685126
02-1-143581,02-1-143631,02-1-143559,-981.33457177901,-247.3895998061579,-184.16901905497926,-159.72019565118518,-150.3001878231774,-107.30774599209877,-96.42066168174546
02-1-143584,02-1-143582,02-1-143559,-291.83679234485413,-108.15422657846125,-70.96065551694306,-62.62258662499352,-58.0529127630858,-8.150678722853229,-3.834365113760427
02-1-143582,02-1-143559,02-1-143601,-627.5477307137796,-124.28916156171704,-108.15422657846125,-90.46559096863021,-63.32905747326626,-58.0529127630858,-51.17653354685126
02-1-143583,02-1-143559,02-1-143601,-834.6060821097137,-198.6650891497777,-187.70616542079864,-119.4924536726403,-112.16081715900282,-63.32905747326626,-51.17653354685126
02-1-143583,02-1-143631,02-1-143559,-1000.6609916255047,-260.84445371748933,-247.3895998061579,-216.47885531834183,-184.16901905497926,-119.4924536726403,-112.16081715900282
02-1-143601,02-1-143584,02-1-143559,-538.7996887940704,-126.5560364884991,-105.36018715670963,-70.96065551694306,-63.32905747326626,-62.62258662499352,-51.17653354685126
02-1-143584,02-1-143631,02-1-143559,-858.5384446375763,-247.3895998061579,-184.16901905497926,-175.6828368320205,-169.96459564484667,-70.96065551694306,-62.62258662499352
02-1-143601,02-1-143559,02-1-143619,-336.39049552229926,-93.22787191357378,-68.0110091305175,-63.32905747326626,-51.17653354685126,-42.934863663762656,-35.50148573857845
02-1-143559,02-1-143608,02-1-143611,-532.5793659810738,-215.04150208907868,-164.01857679358852,-71.86857160799576,-67.79988864024699,-17.489652982704058,-11.98120084718721
02-1-143559,02-1-143608,02-1-143614,-598.12928796848,-167.8022706656845,-167.36897207282198,-71.86857160799576,-67.79988864024699,-53.47223769004225,-42.948025015342125
02-1-143559,02-1-143608,02-1-143619,-271.5803899036756,-71.86857160799576,-68.0110091305175,-67.79988864024699,-35.50148573857845,-28.06549428586291,-13.420495582979974
02-1-143559,02-1-143609,02-1-143611,-369.4242295280699,-215.04150208907868,-164.01857679358852,-46.941603668054086,-27.49030544581703,-26.170466100861603,-12.767930005472962
02-1-143559,02-1-143609,02-1-143614,-452.2185061538695,-167.8022706656845,-167.36897207282198,-52.52490695270791,-46.941603668054086,-46.71288848373325,-27.49030544581703
02-1-143559,02-1-143609,02-1-143619,-212.4374777324956,-68.0110091305175,-46.941603668054086,-35.50148573857845,-27.49030544581703,-24.963127000569088,-17.464778130899973
02-1-143559,02-1-143631,02-1-143609,-638.9351643960642,-247.3895998061579,-184.16901905497926,-178.0190240298267,-95.89752993675819,-46.941603668054086,-27.49030544581703
02-1-143559,02-1-143611,02-1-143614,-864.3244096074004,-215.04150208907868,-167.8022706656845,-167.36897207282198,-164.01857679358852,-50.14078858725317,-31.673352101098317
02-1-143559,02-1-143611,02-1-143619,-424.68838470882474,-215.04150208907868,-164.01857679358852,-68.0110091305175,-49.92875995942228,-35.50148573857845,-21.18661481088106
02-1-143559,02-1-143614,02-1-143619,-324.71330506739275,-167.8022706656845,-167.36897207282198,-68.0110091305175,-35.50148573857845,-8.564379844185467,-2.8205290355897574
02-1-143571,02-1-143564,02-1-143578,-1160.7183820517237,-282.05649967058025,-243.08642555970607,-232.37672210359517,-202.56795808129044,-21.272913382699073,-18.619697867914567
02-1-143571,02-1-143564,02-1-143581,-289.3118444155044,-65.01640229451607,-55.25571108238046,-49.811025566929544,-44.543266916081905,-21.272913382699073,-18.619697867914567
02-1-143582,02-1-143571,02-1-143564,-185.35533830077537,-39.75948966420623,-27.97146054575269,-27.51793131478788,-21.272913382699073,-18.619697867914567,-9.48012694131581
02-1-143571,02-1-143564,02-1-143583,-672.0373901685613,-134.62046211154058,-130.72450202678263,-125.68682518328103,-79.54468230074576,-21.272913382699073,-18.619697867914567
02-1-143571,02-1-143564,02-1-143584,-539.1960808625765,-117.50972901193535,-111.46373097606875,-94.19887864880587,-83.93200524550116,-21.272913382699073,-18.619697867914567
02-1-143571,02-1-143564,02-1-143631,-805.8951482101311,-263.7017017701546,-258.3846623262,-73.8961259161324,-62.0753924629434,-21.272913382699073,-18.619697867914567
02-1-143581,02-1-143564,02-1-143578,-731.9820619090855,-232.37672210359517,-202.56795808129044,-65.01640229451607,-50.368870605663574,-49.811025566929544,-45.01891283401096
02-1-143582,02-1-143564,02-1-143578,-484.4733764944348,-232.37672210359517,-202.56795808129044,-60.31459618544892,-39.75948966420623,-28.738978452870498,-27.51793131478788
02-1-143583,02-1-143564,02-1-143578,-779.6837187298165,-232.37672210359517,-202.56795808129044,-130.72450202678263,-125.68682518328103,-50.65841631503088,-49.040841732378624
