CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,DIAM_CIRC_IMG
02-1-000426,43.0687,196.937,13.365
02-1-000427,42.9476,198.391,32.542
02-1-000762,40.1329,199.532,8.7863
02-1-000763,40.4936,198.763,23.8209
02-1-000764,40.2569,198.127,10.0409
02-1-133737,40.1526,197.038,2.08603
02-1-133740,40.0478,197.446,1.28814
02-1-133741,40.1179,197.541,1.87086
02-1-133742,40.1684,197.297,6.59302
02-1-133743,40.3251,197.284,1.05119
02-1-133744,40.2779,197.257,1.48949
02-1-133745,40.3221,197.208,1.99588
02-1-133746,40.4162,197.317,3.83454
02-1-133747,40.3656,196.886,1.55222
02-1-133748,40.3742,196.848,1.03479
02-1-133749,40.3497,196.767,1.12203
02-1-133750,40.3838,196.74,1.34657
02-1-133751,40.4046,196.706,1.05956
02-1-133752,40.0298,197.117,14.3754
02-1-133753,40.2679,197.033,9.64973
02-1-133754,40.3964,197.008,1.48984
02-1-133755,40.4473,196.852,2.15869
02-1-133756,40.573,197.117,2.49375
02-1-133757,40.5224,197.124,1.13474
02-1-133759,40.5701,197.263,1.35169
02-1-133760,40.6576,197.36,1.69664
02-1-133765,40.6941,197.43,2.39114
02-1-133766,40.7316,197.339,3.07463
02-1-133767,40.7772,197.663,2.28237
02-1-133768,40.8913,197.578,2.77565
02-1-133770,40.9229,197.693,1.29542
02-1-133772,40.652,197.63,3.46159
02-1-133773,40.6344,197.517,1.94412
02-1-133774,40.6452,197.829,4.96055
02-1-133775,40.5236,197.597,1.48164
02-1-133776,40.5022,197.848,4.66983
02-1-133778,40.5623,197.727,2.37886
02-1-133779,40.5762,197.627,2.0418
02-1-133780,40.3839,198.121,1.41657
02-1-133781,40.402,198.167,1.54201
02-1-133783,40.3429,197.728,1.72165
02-1-133785,40.2167,197.752,2.25257
02-1-133786,40.2048,197.57,1.00916
02-1-133787,40.8299,196.979,4.04192
02-1-133788,40.7583,196.893,4.63025
02-1-133789,40.9448,196.912,2.29856
02-1-133796,40.1034,197.667,1.30963
02-1-133802,40.0248,198.202,1.3686
02-1-133803,40.0487,198.254,1.32247
02-1-133805,40.0681,198.128,1.31393
02-1-133806,40.1646,198.076,1.92951
02-1-133807,40.1125,198.095,1.15015
02-1-133808,40.2276,197.921,1.15738
02-1-133809,40.4411,198.221,1.59234
02-1-133810,40.1288,198.557,1.62629
02-1-133821,40.0273,199.423,2.16499
02-1-133824,40.124,199.376,2.66718
02-1-133827,40.4161,197.828,1.82654
02-1-133828,40.6167,198.206,21.7802
02-1-133830,40.7926,197.921,1.6877
02-1-133831,40.8261,198.529,1.13874
02-1-133833,40.918,198.725,1.42137
02-1-133835,40.9078,197.989,2.18566
02-1-133836,40.5542,198.137,1.8676
02-1-133837,40.707,199.286,1.85124
02-1-133838,40.5649,199.404,1.07278
02-1-133841,40.3225,199.283,1.44285
02-1-133843,41.0098,198.527,7.02792
02-1-133844,41.0023,198.315,1.6113
02-1-133845,41.0246,198.156,1.27512
02-1-133846,40.1282,199.198,3.48658
02-1-133847,40.2222,199.696,1.09418
02-1-133848,40.189,199.72,1.20189
02-1-133849,40.3819,199.661,3.59275
02-1-133850,40.1714,199.915,2.24399
02-1-133855,40.0431,199.849,2.26123
02-1-133860,40.1036,199.895,1.21975
02-1-137932,41.1086,199.971,1.71728
02-1-137934,41.4072,199.89,1.54983
02-1-137955,42.0616,199.758,2.03558
02-1-137956,41.9336,199.873,10.891
02-1-137958,41.693,199.898,6.20253
02-1-137960,40.9718,199.615,1.65851
02-1-137961,40.8496,199.581,2.60684
02-1-137962,40.8823,199.875,5.39523
02-1-137964,40.7941,199.735,1.75127
02-1-137965,40.7721,199.664,1.65739
02-1-137966,40.8177,199.364,1.19703
02-1-137967,40.986,198.958,1.54184
02-1-137968,41.0454,198.704,1.31166
02-1-137969,40.8343,199.127,1.11643
02-1-137970,41.285,199.69,1.1063
02-1-137971,41.544,199.497,2.66112
02-1-137972,41.4815,199.569,4.20125
02-1-137973,41.5273,199.417,2.57997
02-1-137974,41.635,199.372,2.9487
02-1-137975,41.6291,199.747,1.46947
02-1-137976,41.6087,199.628,1.99606
02-1-137977,41.7276,199.686,1.0654
02-1-137978,41.6782,199.481,1.2301
02-1-137981,41.7256,199.553,1.11551
02-1-137982,41.2349,198.982,1.29858
02-1-137983,41.3071,198.592,1.91786
02-1-137985,40.8956,199.031,2.95651
02-1-137986,40.8603,198.915,1.97119
02-1-137988,40.9669,199.748,1.90993
02-1-137991,40.7836,199.804,1.6339
02-1-137993,41.2219,199.697,2.28805
02-1-137994,41.9189,199.628,13.071
02-1-137995,42.0085,199.586,1.41501
02-1-137996,41.7673,199.291,1.245
02-1-137997,41.8794,199.226,8.31158
02-1-137998,42.1167,199.362,2.21507
02-1-137999,42.1872,199.212,5.4985
02-1-138000,42.141,198.825,10.797
02-1-138001,42.1904,199.443,4.27869
02-1-138002,42.233,199.63,7.88418
02-1-138003,41.839,198.284,1.11218
