CRATER_ID,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ANGLE_IMG
02-1-133737,40.1526,197.038,2.09319,2.07362,86.344
02-1-133740,40.0477,197.446,1.34315,1.23647,59.0165
02-1-133742,40.1686,197.297,6.80563,6.3659,157.268
02-1-133745,40.3223,197.208,2.12141,1.86184,93.9872
02-1-133749,40.3496,196.766,1.20947,1.03971,70.528
02-1-133750,40.3837,196.74,1.41434,1.28105,84.9882
02-1-133751,40.4046,196.706,1.13309,0.991934,96.4345
02-1-133786,40.2046,197.57,1.09506,0.927451,51.3097
02-1-133810,40.1288,198.557,1.6877,1.57218,101.832
02-1-133821,40.0273,199.423,2.32163,2.00994,171.826
02-1-133830,40.7925,197.921,1.7652,1.61051,73.6081
02-1-133831,40.8261,198.529,1.19205,1.08377,96.9603
02-1-133833,40.9181,198.725,1.44621,1.39266,44.7417
02-1-133837,40.7069,199.287,1.90203,1.79413,66.0108
02-1-133838,40.5649,199.404,1.10984,1.03788,84.0896
02-1-133845,41.0246,198.156,1.3246,1.22782,101.896
02-1-133848,40.1891,199.72,1.28135,1.11662,112.121
02-1-133860,40.1036,199.895,1.30661,1.13239,78.8636
02-1-137932,41.1086,199.971,1.74165,1.69456,170.608
02-1-137960,40.9719,199.615,1.73331,1.58393,137.006
02-1-137967,40.9859,198.958,1.65817,1.4112,98.9956
02-1-137968,41.0455,198.704,1.39912,1.21838,117.063
02-1-137981,41.7257,199.553,1.17153,1.05702,103.221
02-1-137982,41.235,198.982,1.38088,1.2054,19.7332
02-1-137995,42.0084,199.586,1.52698,1.30288,72.8455
02-1-138003,41.8391,198.284,1.19939,1.01918,127.886
02-1-138008,41.0519,199.441,1.22447,1.14423,179.478
02-1-138012,41.0949,198.13,1.33887,1.24436,120.533
02-1-138014,41.0771,197.583,1.42974,1.33517,87.2846
02-1-138020,41.7052,197.743,1.2331,1.14645,55.9389
02-1-138032,41.9935,197.351,1.36321,1.16841,17.6443
02-1-138037,41.9115,198.024,1.26239,1.17654,110.327
02-1-138056,41.8421,196.715,1.07664,1.00942,119.614
02-1-138063,42.1349,196.831,1.40582,1.33771,35.9223
02-1-139335,42.379,197.049,3.07479,2.76661,54.6609
02-1-139344,42.7582,196.838,1.33322,1.2672,50.3704
02-1-139349,42.7771,197.438,3.32475,3.26538,46.0246
02-1-139350,42.9154,197.342,1.21132,1.08845,124.55
02-1-139352,42.7744,197.62,1.54305,1.38945,65.9511
02-1-139357,42.4299,197.648,2.35256,2.21078,49.3663
02-1-139358,42.4358,197.442,4.49703,3.81463,71.445
02-1-139360,42.3212,197.796,7.47758,7.23647,172.561
02-1-139384,42.6509,198.742,3.11391,2.83251,92.5282
02-1-139388,42.3777,199.951,1.90534,1.8319,114.215
02-1-139394,42.7941,199.231,1.1981,1.10804,96.4294
02-1-139395,42.8436,199.207,1.75147,1.55997,67.2808
02-1-139398,42.9469,198.4,1.73801,1.67608,44.6715
02-1-139402,42.993,199.517,7.04998,6.82787,123.605
02-1-143371,43.1546,199.302,1.63277,1.49652,96.8968
02-1-143474,43.0917,197.558,4.98912,4.73188,30.7498
